timestamp,device_name,property
2026-03-01T06:51:00Z,Rm 103 Mary Johnson,Call Button Pressed
2026-03-01T06:57:00Z,Caregiver Maria Lopez,Call Accepted
2026-03-01T07:04:00Z,Rm 103 Mary Johnson,Resolution Confirmed
2026-03-01T07:05:00Z,Caregiver Maria Lopez,Resolution Confirmed
2026-03-01T09:29:00Z,Rm 101 Alice Brown,Call Button Pressed
2026-03-01T09:35:00Z,Caregiver Maria Lopez,Call Accepted
2026-03-01T09:46:00Z,Rm 101 Alice Brown,Resolution Confirmed
2026-03-01T09:46:00Z,Caregiver Maria Lopez,Resolution Confirmed
2026-03-01T07:05:00Z,Rm 103 Mary Johnson,Call Button Pressed
2026-03-01T07:06:00Z,Caregiver David Chen,Call Accepted
2026-03-01T07:10:00Z,Rm 103 Mary Johnson,Resolution Confirmed
2026-03-01T07:11:00Z,Caregiver David Chen,Resolution Confirmed
2026-03-02T01:09:00Z,Rm 101 Alice Brown,Call Button Pressed
2026-03-02T01:11:00Z,Caregiver Maria Lopez,Call Accepted
2026-03-02T01:22:00Z,Rm 101 Alice Brown,Resolution Confirmed
2026-03-02T01:25:00Z,Caregiver Maria Lopez,Resolution Confirmed
2026-03-02T02:06:00Z,Rm 101 Alice Brown,Call Button Pressed
2026-03-02T02:09:00Z,Caregiver David Chen,Call Accepted
2026-03-02T02:12:00Z,Rm 101 Alice Brown,Resolution Confirmed
2026-03-02T02:13:00Z,Caregiver David Chen,Resolution Confirmed
2026-03-01T17:36:00Z,Rm 103 Mary Johnson,Call Button Pressed
2026-03-01T17:39:00Z,Caregiver David Chen,Call Accepted
2026-03-01T17:44:00Z,Rm 103 Mary Johnson,Resolution Confirmed
2026-03-01T17:45:00Z,Caregiver David Chen,Resolution Confirmed
2026-03-01T09:09:00Z,Rm 102 John Smith,Call Button Pressed
2026-03-01T09:13:00Z,Caregiver Maria Lopez,Call Accepted
2026-03-01T09:17:00Z,Rm 102 John Smith,Resolution Confirmed
2026-03-01T09:19:00Z,Caregiver Maria Lopez,Resolution Confirmed
2026-03-01T07:28:00Z,Rm 102 John Smith,Call Button Pressed
2026-03-01T07:34:00Z,Caregiver David Chen,Call Accepted
2026-03-01T07:44:00Z,Rm 102 John Smith,Resolution Confirmed
2026-03-01T07:44:00Z,Caregiver David Chen,Resolution Confirmed
2026-03-02T00:50:00Z,Rm 102 John Smith,Call Button Pressed
2026-03-02T00:53:00Z,Caregiver Maria Lopez,Call Accepted
2026-03-02T01:05:00Z,Rm 102 John Smith,Resolution Confirmed
2026-03-02T01:07:00Z,Caregiver Maria Lopez,Resolution Confirmed
2026-03-01T08:22:00Z,Rm 103 Mary Johnson,Call Button Pressed
2026-03-01T08:23:00Z,Caregiver Maria Lopez,Call Accepted
2026-03-01T08:29:00Z,Rm 103 Mary Johnson,Resolution Confirmed
2026-03-01T08:31:00Z,Caregiver Maria Lopez,Resolution Confirmed
2026-03-01T09:26:00Z,Rm 101 Alice Brown,Call Button Pressed
2026-03-01T09:30:00Z,Caregiver Maria Lopez,Call Accepted
2026-03-01T09:37:00Z,Rm 101 Alice Brown,Resolution Confirmed
2026-03-01T09:40:00Z,Caregiver Maria Lopez,Resolution Confirmed
2026-03-01T11:33:00Z,Rm 103 Mary Johnson,Call Button Pressed
2026-03-01T11:36:00Z,Caregiver David Chen,Call Accepted
2026-03-01T11:44:00Z,Rm 103 Mary Johnson,Resolution Confirmed
2026-03-01T11:45:00Z,Caregiver David Chen,Resolution Confirmed
2026-03-02T05:57:00Z,Rm 103 Mary Johnson,Call Button Pressed
2026-03-02T06:03:00Z,Caregiver David Chen,Call Accepted
2026-03-02T06:07:00Z,Rm 103 Mary Johnson,Resolution Confirmed
2026-03-02T06:08:00Z,Caregiver David Chen,Resolution Confirmed
2026-03-01T11:34:00Z,Rm 103 Mary Johnson,Call Button Pressed
2026-03-01T11:38:00Z,Caregiver Maria Lopez,Call Accepted
2026-03-01T11:47:00Z,Rm 103 Mary Johnson,Resolution Confirmed
2026-03-01T11:49:00Z,Caregiver Maria Lopez,Resolution Confirmed
2026-03-02T05:22:00Z,Rm 103 Mary Johnson,Call Button Pressed
2026-03-02T05:25:00Z,Caregiver Maria Lopez,Call Accepted
2026-03-02T05:28:00Z,Rm 103 Mary Johnson,Resolution Confirmed
2026-03-02T05:29:00Z,Caregiver Maria Lopez,Resolution Confirmed
2026-03-01T19:41:00Z,Rm 101 Alice Brown,Call Button Pressed
2026-03-01T19:44:00Z,Caregiver David Chen,Call Accepted
2026-03-01T19:48:00Z,Rm 101 Alice Brown,Resolution Confirmed
2026-03-01T19:49:00Z,Caregiver David Chen,Resolution Confirmed
2026-03-01T13:15:00Z,Rm 103 Mary Johnson,Call Button Pressed
2026-03-01T13:21:00Z,Caregiver David Chen,Call Accepted
